"어업별","품종별","행정구역별","판매형태별",2015.01,2015.02,2015.06,2015.07,2015.08,2015.09,2015.11,2015.12,2016.01,2016.02,2016.03,2016.05,2016.06,2016.07,2016.08,2016.09,2017.03,2017.06,2017.07,2017.08,2018.01,2018.02,2018.03,2018.04,2018.07,2018.08,2018.09,2018.10,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01 p),2025.02 p),2025.03 p),2025.04 p),2025.05 p),2025.06 p),2025.07 p),2025.08 p),2025.09 p),2025.10 p),2025.11 p),2025.12 p)
"어업별","품종별","행정구역별","판매형태별",생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계
"연근해어업","참다랑어","강원도","계",0,-,0,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,13,4,35,13,0,0,-,-,-,3,8,11,9,86,7,0,0,0,0,0,0,1,7,9,4,4,6,-,6,1,0,-,-,16,16,5,0,1,0,-,-,0,0,1,6,25,1,23,36,4,7,-,0,1,0,0,1,12,30,0,1,0,0,-,-,-,-,0,-,77,32,4,9,6,6,3,0,0,0,0,1,37,32,3,2,57,4,1
"연근해어업","참다랑어","강원도","계통",0,-,0,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,1,4,5,2,12,0,0,0,0,0,0,0,1,7,9,4,4,5,-,6,1,0,-,-,16,16,5,0,1,0,-,-,0,0,1,6,25,1,23,36,4,7,-,0,1,0,0,1,12,30,0,1,0,0,-,-,-,-,0,-,75,32,4,9,6,6,3,0,0,0,0,1,37,32,3,2,4,4,1
"연근해어업","참다랑어","강원도","비계통",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,4,35,13,-,-,-,-,-,2,4,6,6,75,7,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,-,0,-,2,0,0,0,0,-,0,-,-,-,-,0,0,-,-,0,53,-,-
"연근해어업","참다랑어","경상북도","계",7,0,0,0,0,0,0,-,1,0,-,0,-,0,3,0,0,0,0,3,0,2,0,-,-,-,-,-,0,2,0,0,0,0,0,2,0,-,0,0,-,-,1,-,2,-,0,1,1,0,-,-,1,0,1,0,0,2,1,0,0,7,23,1,6,21,6,0,0,20,16,-,50,2,0,0,6,8,4,1,22,51,34,10,4,9,18,5,1,27,0,20,21,36,2,9,8,5,2,36,10,2,10,16,4,20,83,2,4,11,7,6
"연근해어업","참다랑어","경상북도","계통",7,0,0,0,0,0,0,-,1,0,-,0,-,0,3,0,0,0,0,3,0,2,0,-,-,-,-,-,0,2,0,0,0,0,0,2,0,-,0,0,-,-,1,-,2,-,0,1,1,0,-,-,1,0,1,0,0,2,0,0,0,7,23,1,6,21,6,-,-,20,16,-,50,-,-,0,6,8,4,1,22,51,34,10,4,9,18,5,1,27,0,20,21,36,2,9,8,5,2,35,10,2,10,16,4,20,80,2,4,11,6,6
"연근해어업","참다랑어","경상북도","비계통",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,0,0,0,0,0,-,-,0,-,0,0,-,-,-,0,2,0,-,-,-,-,-,0,0,0,0,-,0,0,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,2,0,-,0,0,1
"연근해어업","참다랑어","경상남도","계",-,-,-,0,-,-,-,0,0,42,72,-,-,0,-,-,29,-,-,-,-,0,4,4,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,0,-,-,0,0,-,-,-,-,-,2,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,1,-,-,-,-,0,1,0,0,0,-,-,-,-,-,-,0,-,1,-,0,0
"연근해어업","참다랑어","경상남도","계통",-,-,-,0,-,-,-,0,0,42,72,-,-,0,-,-,29,-,-,-,-,0,4,4,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,0,-,-,0,0,-,-,-,-,-,2,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,1,-,-,-,-,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
"연근해어업","참다랑어","경상남도","비계통",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,0,-,1,-,-,-
